"Year","Month","Transect","Site","Hard_Substrate_Percent"
2000,9,1,"BULL",100
2000,9,1,"CARP",100
2000,9,1,"NAPL",100
2000,9,2,"BULL",100
2000,9,2,"CARP",100
2000,9,2,"NAPL",100
2000,9,3,"BULL",100
2000,9,3,"CARP",100
2000,9,3,"NAPL",100
2000,9,4,"BULL",100
2000,9,4,"CARP",100
2000,9,4,"NAPL",100
2000,9,5,"BULL",100
2000,9,5,"CARP",100
2000,9,5,"NAPL",100
2000,9,6,"BULL",100
2000,9,6,"CARP",100
2000,9,6,"NAPL",100
2000,9,7,"BULL",100
2000,9,7,"CARP",100
2000,9,7,"NAPL",100
2000,9,8,"CARP",100
2000,9,8,"NAPL",100
2000,10,8,"BULL",100
2001,8,1,"ABUR",100
2001,8,1,"AHND",100
2001,8,1,"AQUE",100
2001,8,1,"BULL",100
2001,8,1,"CARP",100
2001,8,1,"GOLB",100
2001,8,1,"IVEE",0
2001,8,1,"MOHK",100
2001,8,1,"NAPL",100
2001,8,2,"ABUR",100
2001,8,2,"AHND",100
2001,8,2,"AQUE",100
2001,8,2,"CARP",100
2001,8,2,"GOLB",100
2001,8,2,"IVEE",0
2001,8,2,"MOHK",100
2001,8,2,"NAPL",100
2001,8,3,"AQUE",100
2001,8,3,"BULL",100
2001,8,3,"CARP",100
2001,8,3,"NAPL",100
2001,8,4,"AQUE",100
2001,8,4,"CARP",100
2001,8,4,"NAPL",100
2001,8,5,"AQUE",100
2001,8,5,"CARP",100
2001,8,5,"NAPL",100
2001,8,6,"BULL",100
2001,8,6,"CARP",100
2001,8,6,"NAPL",0
2001,8,7,"CARP",100
2001,8,7,"NAPL",100
2001,8,8,"CARP",100
2001,8,8,"NAPL",100
2002,8,1,"ABUR",100
2002,8,1,"AQUE",100
2002,8,1,"BULL",100
2002,8,1,"CARP",100
2002,8,1,"GOLB",100
2002,8,1,"IVEE",0
2002,8,1,"MOHK",0
2002,8,1,"NAPL",100
2002,8,2,"ABUR",100
2002,8,2,"AHND",100
2002,8,2,"AQUE",100
2002,8,2,"CARP",100
2002,8,2,"GOLB",100
2002,8,2,"IVEE",0
2002,8,2,"MOHK",0
2002,8,2,"NAPL",100
2002,8,3,"AQUE",100
2002,8,3,"BULL",100
2002,8,3,"CARP",100
2002,8,3,"NAPL",100
2002,8,4,"AQUE",100
2002,8,4,"CARP",100
2002,8,4,"NAPL",100
2002,8,5,"AQUE",100
2002,8,5,"CARP",100
2002,8,5,"NAPL",100
2002,8,6,"AQUE",100
2002,8,6,"BULL",100
2002,8,6,"CARP",100
2002,8,6,"NAPL",100
2002,8,7,"CARP",100
2002,8,7,"NAPL",100
2002,8,8,"CARP",100
2002,8,8,"NAPL",100
2002,9,1,"AHND",100
2003,8,1,"ABUR",100
2003,8,1,"AHND",100
2003,8,1,"AQUE",100
2003,8,1,"BULL",100
2003,8,1,"CARP",100
2003,8,1,"GOLB",100
2003,8,1,"IVEE",100
2003,8,1,"MOHK",100
2003,8,1,"NAPL",100
2003,8,2,"ABUR",100
2003,8,2,"AHND",100
2003,8,2,"AQUE",100
2003,8,2,"CARP",100
2003,8,2,"GOLB",100
2003,8,2,"IVEE",100
2003,8,2,"MOHK",100
2003,8,2,"NAPL",100
2003,8,3,"AQUE",100
2003,8,3,"BULL",100
2003,8,3,"CARP",100
2003,8,3,"NAPL",100
2003,8,4,"AQUE",100
2003,8,4,"CARP",100
2003,8,4,"NAPL",100
2003,8,5,"AQUE",100
2003,8,5,"CARP",100
2003,8,5,"NAPL",100
2003,8,6,"AQUE",100
2003,8,6,"BULL",100
2003,8,6,"CARP",100
2003,8,6,"NAPL",100
2003,8,7,"CARP",100
2003,8,7,"NAPL",100
2003,8,8,"CARP",100
2003,8,8,"NAPL",100
2004,7,1,"ABUR",100
2004,7,1,"AHND",100
2004,7,1,"AQUE",100
2004,7,1,"BULL",100
2004,7,1,"CARP",0
2004,7,1,"GOLB",100
2004,7,1,"IVEE",0
2004,7,1,"MOHK",0
2004,7,1,"NAPL",100
2004,7,2,"ABUR",100
2004,7,2,"AHND",100
2004,7,2,"AQUE",100
2004,7,2,"CARP",100
2004,7,2,"GOLB",100
2004,7,2,"IVEE",0
2004,7,2,"MOHK",0
2004,7,2,"NAPL",100
2004,7,3,"AQUE",100
2004,7,3,"BULL",100
2004,7,3,"CARP",100
2004,7,3,"NAPL",100
2004,7,4,"AQUE",100
2004,7,4,"CARP",100
2004,7,4,"NAPL",100
2004,7,5,"AQUE",100
2004,7,5,"CARP",100
2004,7,5,"NAPL",100
2004,7,6,"AQUE",100
2004,7,6,"BULL",100
2004,7,6,"CARP",100
2004,7,6,"NAPL",100
2004,7,7,"CARP",100
2004,7,7,"NAPL",100
2004,7,8,"CARP",100
2004,7,8,"NAPL",100
2004,8,2,"SCDI",100
2004,8,2,"SCTW",100
2004,8,3,"SCDI",100
2004,8,3,"SCTW",100
2005,7,1,"ABUR",100
2005,7,1,"AHND",100
2005,7,1,"AQUE",100
2005,7,1,"BULL",100
2005,7,1,"CARP",100
2005,7,1,"IVEE",100
2005,7,1,"MOHK",100
2005,7,1,"NAPL",100
2005,7,2,"ABUR",100
2005,7,2,"AHND",100
2005,7,2,"AQUE",100
2005,7,2,"CARP",100
2005,7,2,"IVEE",100
2005,7,2,"MOHK",100
2005,7,2,"NAPL",100
2005,7,2,"SCDI",100
2005,7,2,"SCTW",100
2005,7,3,"AQUE",100
2005,7,3,"BULL",100
2005,7,3,"CARP",100
2005,7,3,"NAPL",100
2005,7,3,"SCDI",100
2005,7,3,"SCTW",100
2005,7,4,"AQUE",100
2005,7,4,"CARP",100
2005,7,4,"NAPL",100
2005,7,5,"AQUE",100
2005,7,5,"CARP",100
2005,7,6,"AQUE",100
2005,7,6,"BULL",100
2005,7,6,"CARP",100
2005,7,6,"NAPL",100
2005,7,7,"CARP",100
2005,7,7,"NAPL",100
2005,7,8,"CARP",100
2005,7,8,"NAPL",100
2005,8,1,"GOLB",100
2005,8,2,"GOLB",100
2005,8,5,"NAPL",100
2006,7,1,"ABUR",100
2006,7,1,"AHND",100
2006,7,1,"AQUE",100
2006,7,1,"BULL",100
2006,7,1,"CARP",100
2006,7,1,"GOLB",100
2006,7,1,"IVEE",100
2006,7,1,"MOHK",100
2006,7,1,"NAPL",100
2006,7,2,"ABUR",100
2006,7,2,"AHND",100
2006,7,2,"AQUE",100
2006,7,2,"CARP",100
2006,7,2,"GOLB",100
2006,7,2,"IVEE",100
2006,7,2,"MOHK",100
2006,7,2,"NAPL",100
2006,7,2,"SCDI",100
2006,7,2,"SCTW",100
2006,7,3,"AQUE",100
2006,7,3,"BULL",100
2006,7,3,"CARP",100
2006,7,3,"NAPL",100
2006,7,3,"SCDI",100
2006,7,3,"SCTW",100
2006,7,4,"AQUE",100
2006,7,4,"CARP",100
2006,7,4,"NAPL",100
2006,7,5,"AQUE",100
2006,7,5,"CARP",100
2006,7,5,"NAPL",100
2006,7,6,"AQUE",100
2006,7,6,"BULL",100
2006,7,6,"CARP",100
2006,7,6,"NAPL",100
2006,7,7,"CARP",100
2006,7,7,"NAPL",100
2006,7,8,"CARP",100
2006,7,8,"NAPL",100
2007,7,1,"ABUR",100
2007,7,1,"AHND",100
2007,7,1,"AQUE",100
2007,7,1,"BULL",100
2007,7,1,"CARP",100
2007,7,1,"GOLB",100
2007,7,1,"IVEE",100
2007,7,1,"MOHK",100
2007,7,1,"NAPL",100
2007,7,2,"ABUR",100
2007,7,2,"AHND",100
2007,7,2,"AQUE",100
2007,7,2,"CARP",100
2007,7,2,"GOLB",100
2007,7,2,"IVEE",100
2007,7,2,"MOHK",100
2007,7,2,"NAPL",100
2007,7,2,"SCDI",100
2007,7,2,"SCTW",100
2007,7,3,"AQUE",100
2007,7,3,"BULL",100
2007,7,3,"CARP",100
2007,7,3,"NAPL",100
2007,7,3,"SCDI",100
2007,7,3,"SCTW",100
2007,7,4,"AQUE",100
2007,7,4,"CARP",100
2007,7,4,"NAPL",100
2007,7,5,"AQUE",100
2007,7,5,"CARP",100
2007,7,5,"NAPL",100
2007,7,6,"AQUE",100
2007,7,6,"BULL",100
2007,7,6,"CARP",100
2007,7,6,"NAPL",100
2007,7,7,"CARP",100
2007,7,7,"NAPL",100
2007,7,8,"CARP",100
2007,7,8,"NAPL",100
2008,7,1,"ABUR",100
2008,7,1,"AHND",100
2008,7,1,"AQUE",100
2008,7,1,"BULL",100
2008,7,1,"CARP",100
2008,7,1,"GOLB",100
2008,7,1,"IVEE",100
2008,7,1,"MOHK",100
2008,7,2,"ABUR",100
2008,7,2,"AHND",100
2008,7,2,"AQUE",100
2008,7,2,"CARP",100
2008,7,2,"GOLB",100
2008,7,2,"IVEE",100
2008,7,2,"MOHK",100
2008,7,2,"SCDI",100
2008,7,2,"SCTW",100
2008,7,3,"AQUE",100
2008,7,3,"BULL",100
2008,7,3,"CARP",100
2008,7,3,"SCDI",100
2008,7,3,"SCTW",100
2008,7,4,"AQUE",100
2008,7,4,"CARP",100
2008,7,5,"AQUE",100
2008,7,5,"CARP",100
2008,7,5,"NAPL",100
2008,7,6,"AQUE",100
2008,7,6,"BULL",100
2008,7,6,"CARP",100
2008,7,6,"NAPL",100
2008,7,7,"CARP",100
2008,7,7,"NAPL",100
2008,7,8,"CARP",100
2008,7,8,"NAPL",100
2008,8,1,"NAPL",100
2008,8,2,"NAPL",100
2008,8,3,"NAPL",100
2008,8,4,"NAPL",100
2009,7,1,"ABUR",100
2009,7,1,"AHND",100
2009,7,1,"AQUE",100
2009,7,1,"BULL",100
2009,7,1,"CARP",100
2009,7,1,"GOLB",100
2009,7,1,"IVEE",100
2009,7,1,"MOHK",100
2009,7,1,"NAPL",100
2009,7,2,"ABUR",100
2009,7,2,"AHND",100
2009,7,2,"AQUE",100
2009,7,2,"CARP",100
2009,7,2,"GOLB",100
2009,7,2,"IVEE",100
2009,7,2,"MOHK",100
2009,7,2,"NAPL",100
2009,7,2,"SCDI",100
2009,7,2,"SCTW",100
2009,7,3,"AQUE",100
2009,7,3,"BULL",100
2009,7,3,"CARP",100
2009,7,3,"NAPL",100
2009,7,3,"SCDI",100
2009,7,3,"SCTW",100
2009,7,4,"AQUE",100
2009,7,4,"CARP",100
2009,7,4,"NAPL",100
2009,7,5,"AQUE",100
2009,7,5,"CARP",100
2009,7,5,"NAPL",100
2009,7,6,"AQUE",100
2009,7,6,"BULL",100
2009,7,6,"CARP",100
2009,7,6,"NAPL",100
2009,7,7,"CARP",100
2009,7,7,"NAPL",100
2009,7,8,"CARP",100
2009,7,8,"NAPL",100
2010,7,1,"ABUR",100
2010,7,1,"AHND",100
2010,7,1,"AQUE",100
2010,7,1,"BULL",100
2010,7,1,"CARP",100
2010,7,1,"GOLB",100
2010,7,1,"IVEE",100
2010,7,1,"MOHK",100
2010,7,1,"NAPL",100
2010,7,2,"ABUR",100
2010,7,2,"AHND",100
2010,7,2,"AQUE",100
2010,7,2,"CARP",100
2010,7,2,"GOLB",100
2010,7,2,"IVEE",100
2010,7,2,"MOHK",100
2010,7,2,"NAPL",100
2010,7,2,"SCDI",100
2010,7,2,"SCTW",100
2010,7,3,"AQUE",100
2010,7,3,"BULL",100
2010,7,3,"CARP",100
2010,7,3,"NAPL",100
2010,7,3,"SCDI",100
2010,7,3,"SCTW",100
2010,7,4,"AQUE",100
2010,7,4,"CARP",100
2010,7,4,"NAPL",100
2010,7,5,"AQUE",100
2010,7,5,"CARP",100
2010,7,5,"NAPL",100
2010,7,6,"AQUE",100
2010,7,6,"BULL",100
2010,7,6,"CARP",101.25
2010,7,6,"NAPL",101.25
2010,7,7,"CARP",100
2010,7,7,"NAPL",100
2010,7,8,"CARP",100
2010,7,8,"NAPL",100
2011,7,1,"ABUR",100
2011,7,1,"AHND",100
2011,7,1,"AQUE",100
2011,7,1,"BULL",100
2011,7,1,"CARP",100
2011,7,1,"GOLB",100
2011,7,1,"IVEE",100
2011,7,1,"MOHK",100
2011,7,1,"NAPL",100
2011,7,2,"ABUR",100
2011,7,2,"AHND",100
2011,7,2,"AQUE",100
2011,7,2,"CARP",100
2011,7,2,"GOLB",100
2011,7,2,"IVEE",100
2011,7,2,"MOHK",100
2011,7,2,"NAPL",100
2011,7,2,"SCDI",100
2011,7,2,"SCTW",100
2011,7,3,"AQUE",100
2011,7,3,"BULL",100
2011,7,3,"CARP",100
2011,7,3,"NAPL",100
2011,7,3,"SCDI",100
2011,7,3,"SCTW",100
2011,7,4,"AQUE",100
2011,7,4,"CARP",100
2011,7,4,"NAPL",100
2011,7,5,"AQUE",100
2011,7,5,"CARP",100
2011,7,5,"NAPL",100
2011,7,6,"AQUE",100
2011,7,6,"BULL",100
2011,7,6,"CARP",100
2011,7,6,"NAPL",100
2011,7,7,"CARP",100
2011,7,7,"NAPL",100
2011,7,8,"CARP",100
2011,7,8,"NAPL",100
2011,10,3,"IVEE",100
2011,10,4,"IVEE",100
2011,10,5,"IVEE",100
2011,10,6,"IVEE",100
2011,10,7,"IVEE",100
2011,10,8,"IVEE",100
2012,7,1,"ABUR",100
2012,7,1,"AHND",100
2012,7,1,"AQUE",100
2012,7,1,"BULL",100
2012,7,1,"CARP",100
2012,7,1,"GOLB",100
2012,7,1,"IVEE",100
2012,7,1,"MOHK",100
2012,7,1,"NAPL",100
2012,7,2,"ABUR",100
2012,7,2,"AHND",100
2012,7,2,"AQUE",100
2012,7,2,"CARP",100
2012,7,2,"GOLB",100
2012,7,2,"IVEE",100
2012,7,2,"MOHK",100
2012,7,2,"NAPL",100
2012,7,2,"SCDI",101.25
2012,7,2,"SCTW",101.25
2012,7,3,"AQUE",100
2012,7,3,"BULL",100
2012,7,3,"CARP",100
2012,7,3,"IVEE",100
2012,7,3,"NAPL",100
2012,7,3,"SCDI",100
2012,7,3,"SCTW",100
2012,7,4,"AQUE",100
2012,7,4,"CARP",100
2012,7,4,"NAPL",100
2012,7,5,"AQUE",100
2012,7,5,"CARP",100
2012,7,5,"IVEE",100
2012,7,5,"NAPL",100
2012,7,6,"AQUE",100
2012,7,6,"BULL",100
2012,7,6,"CARP",100
2012,7,6,"IVEE",100
2012,7,6,"NAPL",100
2012,7,7,"CARP",100
2012,7,7,"IVEE",100
2012,7,7,"NAPL",100
2012,7,8,"CARP",100
2012,7,8,"IVEE",100
2012,7,8,"NAPL",100
2013,7,1,"ABUR",100
2013,7,1,"AHND",100
2013,7,1,"AQUE",100
2013,7,1,"BULL",100
2013,7,1,"CARP",100
2013,7,1,"GOLB",100
2013,7,1,"IVEE",100
2013,7,1,"MOHK",100
2013,7,1,"NAPL",100
2013,7,2,"ABUR",100
2013,7,2,"AHND",100
2013,7,2,"AQUE",100
2013,7,2,"CARP",100
2013,7,2,"GOLB",100
2013,7,2,"IVEE",100
2013,7,2,"MOHK",100
2013,7,2,"NAPL",100
2013,7,2,"SCDI",100
2013,7,2,"SCTW",100
2013,7,3,"AQUE",100
2013,7,3,"BULL",100
2013,7,3,"CARP",100
2013,7,3,"IVEE",100
2013,7,3,"NAPL",100
2013,7,3,"SCDI",100
2013,7,3,"SCTW",100
2013,7,4,"AQUE",100
2013,7,4,"CARP",100
2013,7,4,"NAPL",100
2013,7,5,"AQUE",100
2013,7,5,"CARP",100
2013,7,5,"IVEE",100
2013,7,5,"NAPL",100
2013,7,6,"AQUE",100
2013,7,6,"BULL",100
2013,7,6,"CARP",100
2013,7,6,"IVEE",100
2013,7,6,"NAPL",100
2013,7,7,"CARP",100
2013,7,7,"IVEE",100
2013,7,7,"NAPL",100
2013,7,8,"CARP",100
2013,7,8,"IVEE",100
2013,7,8,"NAPL",100
2014,7,1,"ABUR",100
2014,7,1,"AHND",100
2014,7,1,"AQUE",100
2014,7,1,"BULL",100
2014,7,1,"CARP",100
2014,7,1,"GOLB",100
2014,7,1,"IVEE",100
2014,7,1,"MOHK",100
2014,7,1,"NAPL",100
2014,7,2,"ABUR",100
2014,7,2,"AHND",100
2014,7,2,"AQUE",100
2014,7,2,"CARP",100
2014,7,2,"GOLB",100
2014,7,2,"IVEE",100
2014,7,2,"MOHK",100
2014,7,2,"NAPL",100
2014,7,2,"SCDI",100
2014,7,2,"SCTW",100
2014,7,3,"AQUE",100
2014,7,3,"BULL",100
2014,7,3,"CARP",100
2014,7,3,"IVEE",100
2014,7,3,"NAPL",100
2014,7,3,"SCDI",101.25
2014,7,3,"SCTW",100
2014,7,4,"AQUE",100
2014,7,4,"CARP",100
2014,7,4,"NAPL",100
2014,7,5,"AQUE",100
2014,7,5,"CARP",100
2014,7,5,"IVEE",100
2014,7,5,"NAPL",100
2014,7,6,"AQUE",100
2014,7,6,"BULL",100
2014,7,6,"CARP",100
2014,7,6,"IVEE",100
2014,7,6,"NAPL",100
2014,7,7,"CARP",100
2014,7,7,"IVEE",100
2014,7,7,"NAPL",100
2014,7,8,"CARP",100
2014,7,8,"IVEE",100
2014,7,8,"NAPL",100
