"Year","Site","Transect","stipe_density"
2001,"ABUR","1",13.875
2001,"ABUR","2",0
2001,"AHND","1",0.025
2001,"AHND","2",1.2125
2001,"BULL","1",0.075
2001,"BULL","3",0.3
2001,"BULL","6",0
2001,"CARP","1",3.925
2001,"CARP","2",0
2001,"CARP","3",0
2001,"CARP","4",0
2001,"CARP","5",0
2001,"CARP","6",0
2001,"CARP","7",0
2001,"CARP","8",0
2001,"GOLB","1",11.1375
2001,"GOLB","2",6.1875
2001,"IVEE","1",1.3625
2001,"IVEE","2",2.375
2001,"MOHK","1",12.8
2001,"MOHK","2",7.525
2001,"NAPL","1",0
2001,"NAPL","2",0
2001,"NAPL","3",0
2001,"NAPL","4",0
2001,"NAPL","5",0.025
2001,"NAPL","6",0
2001,"NAPL","7",0
2001,"NAPL","8",0
2002,"ABUR","1",8.5125
2002,"ABUR","2",0.3875
2002,"AHND","1",0
2002,"AHND","2",4.375
2002,"AQUE","1",13.1
2002,"AQUE","2",9.1375
2002,"AQUE","3",17.425
2002,"AQUE","4",6.1625
2002,"AQUE","5",9.925
2002,"AQUE","6",9.175
2002,"BULL","1",3.9375
2002,"BULL","3",2.5125
2002,"BULL","6",0.625
2002,"CARP","1",17.475
2002,"CARP","2",0
2002,"CARP","3",0
2002,"CARP","4",0
2002,"CARP","5",0
2002,"CARP","6",0
2002,"CARP","7",0.15
2002,"CARP","8",0
2002,"GOLB","1",7.1625
2002,"GOLB","2",11.5125
2002,"IVEE","1",2.9625
2002,"IVEE","2",1.1875
2002,"MOHK","1",3.9375
2002,"MOHK","2",18.2125
2002,"NAPL","1",0.6
2002,"NAPL","2",0.8625
2002,"NAPL","3",0.075
2002,"NAPL","4",0
2002,"NAPL","5",0.675
2002,"NAPL","6",0
2002,"NAPL","7",0.8625
2002,"NAPL","8",0.1
2003,"ABUR","1",0.6
2003,"ABUR","2",0
2003,"AHND","1",0
2003,"AHND","2",3.1125
2003,"AQUE","1",15.0125
2003,"AQUE","2",14.925
2003,"AQUE","3",13
2003,"AQUE","4",6.7125
2003,"AQUE","5",10.0875
2003,"AQUE","6",12.6375
2003,"BULL","1",8.0625
2003,"BULL","3",3.125
2003,"BULL","6",9.1375
2003,"CARP","1",12.5375
2003,"CARP","2",0.05
2003,"CARP","3",2.9
2003,"CARP","4",0
2003,"CARP","5",0
2003,"CARP","6",1.2375
2003,"CARP","7",0.6
2003,"CARP","8",0
2003,"GOLB","1",9.1625
2003,"GOLB","2",13.5
2003,"IVEE","1",1.1125
2003,"IVEE","2",2.725
2003,"MOHK","1",10.125
2003,"MOHK","2",19.425
2003,"NAPL","1",8.925
2003,"NAPL","2",13.125
2003,"NAPL","3",4.55
2003,"NAPL","4",5
2003,"NAPL","5",11.875
2003,"NAPL","6",3.3625
2003,"NAPL","7",6.8625
2003,"NAPL","8",3.3625
2004,"ABUR","1",0.85
2004,"ABUR","2",0
2004,"AHND","1",0
2004,"AHND","2",3.6875
2004,"AQUE","1",6.05
2004,"AQUE","2",6.4625
2004,"AQUE","3",7.625
2004,"AQUE","4",1.6375
2004,"AQUE","5",6.3625
2004,"AQUE","6",6.7375
2004,"BULL","1",0.4375
2004,"BULL","3",0.025
2004,"BULL","6",0.325
2004,"CARP","1",6.0375
2004,"CARP","2",4.975
2004,"CARP","3",9.7375
2004,"CARP","4",2.5
2004,"CARP","5",0
2004,"CARP","6",1.275
2004,"CARP","7",6.6125
2004,"CARP","8",0.025
2004,"GOLB","1",1.625
2004,"GOLB","2",1.175
2004,"IVEE","1",0.8375
2004,"IVEE","2",3.875
2004,"MOHK","1",12.45
2004,"MOHK","2",4.8
2004,"NAPL","1",8.65
2004,"NAPL","2",9.1625
2004,"NAPL","3",5.5625
2004,"NAPL","4",2
2004,"NAPL","5",1.6375
2004,"NAPL","6",3.1625
2004,"NAPL","7",9.3
2004,"NAPL","8",3.7
2005,"ABUR","1",3.525
2005,"ABUR","2",0.4625
2005,"AHND","1",0.025
2005,"AHND","2",6.9
2005,"AQUE","1",6.075
2005,"AQUE","2",3.9375
2005,"AQUE","3",0.9625
2005,"AQUE","4",2.85
2005,"AQUE","5",4.625
2005,"AQUE","6",2.4125
2005,"BULL","1",5.1
2005,"BULL","3",1.75
2005,"BULL","6",5.6375
2005,"CARP","1",32.5875
2005,"CARP","2",10.125
2005,"CARP","3",3.9125
2005,"CARP","4",1.125
2005,"CARP","5",0.675
2005,"CARP","6",1.7875
2005,"CARP","7",12.2125
2005,"CARP","8",12.5625
2005,"GOLB","1",0.6125
2005,"GOLB","2",2.4
2005,"IVEE","1",0.3375
2005,"IVEE","2",11.025
2005,"MOHK","1",0.5
2005,"MOHK","2",4.7
2005,"NAPL","1",12.05
2005,"NAPL","2",7.4375
2005,"NAPL","3",2.5875
2005,"NAPL","4",3.4625
2005,"NAPL","5",5.2
2005,"NAPL","6",3.825
2005,"NAPL","7",8.475
2005,"NAPL","8",4.2875
2006,"ABUR","1",0.1625
2006,"ABUR","2",0.025
2006,"AHND","1",0
2006,"AHND","2",4.8
2006,"AQUE","1",7.5625
2006,"AQUE","2",12.275
2006,"AQUE","3",4.65
2006,"AQUE","4",4.775
2006,"AQUE","5",1.925
2006,"AQUE","6",1.6125
2006,"BULL","1",5.6875
2006,"BULL","3",1.9625
2006,"BULL","6",1.5625
2006,"CARP","1",27.325
2006,"CARP","2",13.3
2006,"CARP","3",0.025
2006,"CARP","4",0.125
2006,"CARP","5",0.025
2006,"CARP","6",0
2006,"CARP","7",0.025
2006,"CARP","8",7.525
2006,"GOLB","1",1.675
2006,"GOLB","2",2.8
2006,"IVEE","1",3.4875
2006,"IVEE","2",5.1
2006,"MOHK","1",6.225
2006,"MOHK","2",5.1625
2006,"NAPL","1",5.6375
2006,"NAPL","2",10.85
2006,"NAPL","3",0.8375
2006,"NAPL","4",0
2006,"NAPL","5",0.3
2006,"NAPL","6",0.25
2006,"NAPL","7",2.025
2006,"NAPL","8",0.1625
2007,"ABUR","1",1.225
2007,"ABUR","2",0
2007,"AHND","1",0
2007,"AHND","2",12.4
2007,"AQUE","1",10.2125
2007,"AQUE","2",4.85
2007,"AQUE","3",10.5625
2007,"AQUE","4",3.9
2007,"AQUE","5",2.65
2007,"AQUE","6",0.5125
2007,"BULL","1",6.375
2007,"BULL","3",3.175
2007,"BULL","6",6.8625
2007,"CARP","1",33.8
2007,"CARP","2",9.375
2007,"CARP","3",0
2007,"CARP","4",0.05
2007,"CARP","5",5.8875
2007,"CARP","6",0.025
2007,"CARP","7",6.975
2007,"CARP","8",10.15
2007,"GOLB","1",9.4875
2007,"GOLB","2",12.025
2007,"IVEE","1",7.275
2007,"IVEE","2",8.625
2007,"MOHK","1",6.5
2007,"MOHK","2",15.525
2007,"NAPL","1",9.7625
2007,"NAPL","2",7.3875
2007,"NAPL","3",0.2
2007,"NAPL","4",0
2007,"NAPL","5",3.4375
2007,"NAPL","6",1.8
2007,"NAPL","7",3.7
2007,"NAPL","8",1.6625
2008,"ABUR","1",6.2
2008,"ABUR","2",0.6125
2008,"AHND","1",0
2008,"AHND","2",4.7125
2008,"AQUE","1",6.975
2008,"AQUE","2",5.3625
2008,"AQUE","3",2.225
2008,"AQUE","4",3.6
2008,"AQUE","5",2.8125
2008,"AQUE","6",4.7625
2008,"BULL","1",2.9125
2008,"BULL","3",3.7
2008,"BULL","6",2.1625
2008,"CARP","1",27.9375
2008,"CARP","2",20.2875
2008,"CARP","3",4.025
2008,"CARP","4",17.95
2008,"CARP","5",25.55
2008,"CARP","6",0
2008,"CARP","7",0
2008,"CARP","8",14.0875
2008,"GOLB","1",2.1125
2008,"GOLB","2",3.8875
2008,"IVEE","1",3.7875
2008,"IVEE","2",5.5625
2008,"MOHK","1",10.3875
2008,"MOHK","2",7.3375
2008,"NAPL","1",4
2008,"NAPL","2",3.7
2008,"NAPL","3",0
2008,"NAPL","4",0.025
2008,"NAPL","5",0.4
2008,"NAPL","6",0.9875
2008,"NAPL","7",1.85
2008,"NAPL","8",0.9625
2009,"ABUR","1",0.475
2009,"ABUR","2",0
2009,"AHND","1",0
2009,"AHND","2",3.1125
2009,"AQUE","1",4.0625
2009,"AQUE","2",4.6
2009,"AQUE","3",2.8125
2009,"AQUE","4",3.1875
2009,"AQUE","5",3.7625
2009,"AQUE","6",4.1125
2009,"BULL","1",7.9125
2009,"BULL","3",4.575
2009,"BULL","6",4.95
2009,"CARP","1",1.4875
2009,"CARP","2",0
2009,"CARP","3",9.425
2009,"CARP","4",2.9375
2009,"CARP","5",0
2009,"CARP","6",0
2009,"CARP","7",3.05
2009,"CARP","8",0
2009,"GOLB","1",10.2875
2009,"GOLB","2",5.4875
2009,"IVEE","1",5.5375
2009,"IVEE","2",6.1625
2009,"MOHK","1",5.8375
2009,"MOHK","2",12.675
2009,"NAPL","1",2.75
2009,"NAPL","2",0.225
2009,"NAPL","3",0.1125
2009,"NAPL","4",0.45
2009,"NAPL","5",0.2875
2009,"NAPL","6",0.3
2009,"NAPL","7",0.6875
2009,"NAPL","8",0.2875
2010,"ABUR","1",0.425
2010,"ABUR","2",0
2010,"AHND","1",0
2010,"AHND","2",0.45
2010,"AQUE","1",0
2010,"AQUE","2",0.05
2010,"AQUE","3",0.525
2010,"AQUE","4",0.2625
2010,"AQUE","5",0
2010,"AQUE","6",0.375
2010,"BULL","1",6.55
2010,"BULL","3",3.2875
2010,"BULL","6",4
2010,"CARP","1",6.975
2010,"CARP","2",3.1375
2010,"CARP","3",0
2010,"CARP","4",0
2010,"CARP","5",0
2010,"CARP","6",0
2010,"CARP","7",0
2010,"CARP","8",0
2010,"GOLB","1",2.8625
2010,"GOLB","2",1.725
2010,"IVEE","1",0
2010,"IVEE","2",0.5375
2010,"MOHK","1",4.525
2010,"MOHK","2",6.775
2010,"NAPL","1",3.5875
2010,"NAPL","2",0.2
2010,"NAPL","3",1.1875
2010,"NAPL","4",0.075
2010,"NAPL","5",0.15
2010,"NAPL","6",0
2010,"NAPL","7",0.3
2010,"NAPL","8",0.1625
2011,"ABUR","1",0.5875
2011,"ABUR","2",0.55
2011,"AHND","1",0
2011,"AHND","2",0.95
2011,"AQUE","1",0
2011,"AQUE","2",2.0375
2011,"AQUE","3",5.8125
2011,"AQUE","4",0.5
2011,"AQUE","5",0.025
2011,"AQUE","6",0
2011,"BULL","1",0.5625
2011,"BULL","3",0.5
2011,"BULL","6",0.2
2011,"CARP","1",9.7
2011,"CARP","2",4.9625
2011,"CARP","3",0
2011,"CARP","4",0
2011,"CARP","5",0
2011,"CARP","6",0
2011,"CARP","7",0
2011,"CARP","8",0
2011,"GOLB","1",2.4125
2011,"GOLB","2",4.075
2011,"IVEE","1",0.1125
2011,"IVEE","2",0
2011,"MOHK","1",8.95
2011,"MOHK","2",14.05
2011,"NAPL","1",0.425
2011,"NAPL","2",0.5875
2011,"NAPL","3",3.3875
2011,"NAPL","4",0
2011,"NAPL","5",0
2011,"NAPL","6",0.125
2011,"NAPL","7",0.075
2011,"NAPL","8",0.125
2012,"ABUR","1",8.0625
2012,"ABUR","2",0
2012,"AHND","1",0
2012,"AHND","2",5.075
2012,"AQUE","1",3.9125
2012,"AQUE","2",5.4125
2012,"AQUE","3",3.8625
2012,"AQUE","4",4.3375
2012,"AQUE","5",4.0875
2012,"AQUE","6",0.05
2012,"BULL","1",3.6125
2012,"BULL","3",5.2
2012,"BULL","6",2.875
2012,"CARP","1",1.6875
2012,"CARP","2",7.625
2012,"CARP","3",0
2012,"CARP","4",0
2012,"CARP","5",0
2012,"CARP","6",0
2012,"CARP","7",0
2012,"CARP","8",0
2012,"GOLB","1",6.2875
2012,"GOLB","2",3.7625
2012,"IVEE","1",0.025
2012,"IVEE","2",1.425
2012,"MOHK","1",5.3
2012,"MOHK","2",9.775
2012,"NAPL","1",3.85
2012,"NAPL","2",3.6625
2012,"NAPL","3",3.3875
2012,"NAPL","4",0
2012,"NAPL","5",0.1
2012,"NAPL","6",0.6625
2012,"NAPL","7",0.6
2012,"NAPL","8",0
2013,"ABUR","1",6.5625
2013,"ABUR","2",0
2013,"AHND","1",0
2013,"AHND","2",10.575
2013,"AQUE","1",7.4625
2013,"AQUE","2",9.5375
2013,"AQUE","3",5.475
2013,"AQUE","4",7.1
2013,"AQUE","5",7.5
2013,"AQUE","6",7.15
2013,"BULL","1",6.625
2013,"BULL","3",3.575
2013,"BULL","6",2.5
2013,"CARP","1",0.7
2013,"CARP","2",1.3125
2013,"CARP","3",0
2013,"CARP","4",0
2013,"CARP","5",0
2013,"CARP","6",0
2013,"CARP","7",0
2013,"CARP","8",0
2013,"GOLB","1",0.1625
2013,"GOLB","2",1.1625
2013,"IVEE","1",9.9625
2013,"IVEE","2",3.2125
2013,"MOHK","1",2.3625
2013,"MOHK","2",7.075
2013,"NAPL","1",2.75
2013,"NAPL","2",2.225
2013,"NAPL","3",0.85
2013,"NAPL","4",0.6875
2013,"NAPL","5",1.8375
2013,"NAPL","6",2.5125
2013,"NAPL","7",0.2875
2013,"NAPL","8",1.725
2014,"ABUR","1",2.6125
2014,"ABUR","2",0
2014,"AHND","1",0
2014,"AHND","2",0.45
2014,"AQUE","1",0
2014,"AQUE","2",0.1125
2014,"AQUE","3",1.2875
2014,"AQUE","4",2.025
2014,"AQUE","5",2.075
2014,"AQUE","6",3.35
2014,"BULL","1",4.5375
2014,"BULL","3",6.1125
2014,"BULL","6",2.475
2014,"CARP","1",2.8125
2014,"CARP","2",2.0875
2014,"CARP","3",0.05
2014,"CARP","4",0.2
2014,"CARP","5",0.1125
2014,"CARP","6",0
2014,"CARP","7",0
2014,"CARP","8",0
2014,"GOLB","1",2.5125
2014,"GOLB","2",1.05
2014,"IVEE","1",6.475
2014,"IVEE","2",2.05
2014,"MOHK","1",6.7375
2014,"MOHK","2",10.175
2014,"NAPL","1",5.6875
2014,"NAPL","2",8.2125
2014,"NAPL","3",4.5375
2014,"NAPL","4",0.1375
2014,"NAPL","5",3.925
2014,"NAPL","6",3.7125
2014,"NAPL","7",5.8125
2014,"NAPL","8",2.1375
