"Year","site","mean_temp_c","max_mean_temp_c","min_mean_temp_c"
2002,"AQUE",14.6934,14.6934,14.6934
2002,"CARP",15.6757,15.6757,15.6757
2002,"MOHK",15.4463,15.4463,15.4463
2002,"NAPL",14.775,14.775,14.775
2003,"ABUR",14.355,14.355,14.355
2003,"AQUE",13.3645,13.3645,13.3645
2003,"BULL",14.2019,14.2019,14.2019
2003,"CARP",15.379,15.379,15.379
2003,"GOLB",15.2984,15.2984,15.2984
2003,"IVEE",13.9492,13.9492,13.9492
2003,"MOHK",15.2006,15.2006,15.2006
2003,"NAPL",14.827,14.827,14.827
2004,"ABUR",14.5473,14.5473,14.5473
2004,"AHND",15.303,15.303,15.303
2004,"AQUE",14.7104,14.7104,14.7104
2004,"BULL",14.2302,14.2302,14.2302
2004,"CARP",15.6112,15.6112,15.6112
2004,"GOLB",15.7395,15.7395,15.7395
2004,"IVEE",14.2558,14.2558,14.2558
2004,"MOHK",15.2856,15.2856,15.2856
2004,"NAPL",15.0987,15.0987,15.0987
2005,"ABUR",13.6106,13.6106,13.6106
2005,"AHND",14.0631,14.0631,14.0631
2005,"AQUE",13.8604,13.8604,13.8604
2005,"BULL",13.3994,13.3994,13.3994
2005,"CARP",14.6415,14.6415,14.6415
2005,"GOLB",14.6687,14.6687,14.6687
2005,"IVEE",13.2859,13.2859,13.2859
2005,"MOHK",14.2558,14.2558,14.2558
2005,"NAPL",14.1905,14.1905,14.1905
2005,"SCDI",14.3602,14.3602,14.3602
2005,"SCTW",15.0073,15.0073,15.0073
2006,"ABUR",14.2599,14.2599,14.2599
2006,"AHND",14.8181,14.8181,14.8181
2006,"AQUE",14.8588,14.8588,14.8588
2006,"BULL",14.4875,14.4875,14.4875
2006,"CARP",15.5741,15.5741,15.5741
2006,"GOLB",15.3961,15.3961,15.3961
2006,"MOHK",15.1483,15.1483,15.1483
2006,"NAPL",14.5652,14.5652,14.5652
2006,"SCDI",15.1193,15.1193,15.1193
2006,"SCTW",16.0159,16.0159,16.0159
2007,"ABUR",14.3781,14.3781,14.3781
2007,"AHND",14.6035,14.6035,14.6035
2007,"AQUE",14.8774,14.8774,14.8774
2007,"BULL",14.0551,14.0551,14.0551
2007,"CARP",15.383,15.383,15.383
2007,"GOLB",15.2676,15.2676,15.2676
2007,"IVEE",14.1093,14.1093,14.1093
2007,"MOHK",14.9188,14.9188,14.9188
2007,"NAPL",14.6698,14.6698,14.6698
2007,"SCDI",14.4475,14.4475,14.4475
2007,"SCTW",14.808,14.808,14.808
2008,"ABUR",14.1421,14.1421,14.1421
2008,"AHND",13.9571,13.9571,13.9571
2008,"AQUE",14.6389,14.6389,14.6389
2008,"BULL",13.4431,13.4431,13.4431
2008,"CARP",15.2154,15.2154,15.2154
2008,"GOLB",14.7383,14.7383,14.7383
2008,"IVEE",13.8598,13.8598,13.8598
2008,"MOHK",14.7099,14.7099,14.7099
2008,"NAPL",14.4573,14.4573,14.4573
2008,"SCDI",14.5304,14.5304,14.5304
2008,"SCTW",15.2995,15.2995,15.2995
2009,"ABUR",14.1222,14.1222,14.1222
2009,"AHND",15.5287,15.5287,15.5287
2009,"AQUE",14.6217,14.6217,14.6217
2009,"BULL",15.5613,15.5613,15.5613
2009,"CARP",14.7244,14.7244,14.7244
2009,"GOLB",15.5577,15.5577,15.5577
2009,"IVEE",14.3684,14.3684,14.3684
2009,"MOHK",14.4214,14.4214,14.4214
2009,"NAPL",15.0923,15.0923,15.0923
2009,"SCDI",14.9626,14.9626,14.9626
2010,"ABUR",13.5642,13.5642,13.5642
2010,"AHND",13.7097,13.7097,13.7097
2010,"AQUE",13.9004,13.9004,13.9004
2010,"BULL",13.1633,13.1633,13.1633
2010,"CARP",14.651,14.651,14.651
2010,"GOLB",14.5249,14.5249,14.5249
2010,"IVEE",13.3894,13.3894,13.3894
2010,"MOHK",14.2055,14.2055,14.2055
2010,"NAPL",13.7122,13.7122,13.7122
2010,"SCDI",13.6954,13.6954,13.6954
2010,"SCTW",14.199,14.199,14.199
2011,"ABUR",13.8535,13.8535,13.8535
2011,"AHND",12.3283,12.3283,12.3283
2011,"AQUE",14.1101,14.1101,14.1101
2011,"BULL",13.5799,13.5799,13.5799
2011,"CARP",14.6037,14.6037,14.6037
2011,"GOLB",14.5003,14.5003,14.5003
2011,"IVEE",13.3264,13.3264,13.3264
2011,"MOHK",14.4513,14.4513,14.4513
2011,"NAPL",13.8544,13.8544,13.8544
2011,"SCDI",14.0971,14.0971,14.0971
2011,"SCTW",14.694,14.694,14.694
2012,"ABUR",14.5787,14.5787,14.5787
2012,"AHND",15.6695,15.6695,15.6695
2012,"AQUE",14.7529,14.7529,14.7529
2012,"BULL",14.0762,14.0762,14.0762
2012,"CARP",15.2511,15.2511,15.2511
2012,"GOLB",15.489,15.489,15.489
2012,"IVEE",14.1522,14.1522,14.1522
2012,"MOHK",15.0611,15.0611,15.0611
2012,"NAPL",14.4961,14.4961,14.4961
2012,"SCDI",14.6748,14.6748,14.6748
2012,"SCTW",15.1688,15.1688,15.1688
2013,"ABUR",15.5256,15.5256,15.5256
2013,"AHND",15.502,15.502,15.502
2013,"AQUE",15.7717,15.7717,15.7717
2013,"BULL",14.9465,14.9465,14.9465
2013,"CARP",16.4975,16.4975,16.4975
2013,"GOLB",15.2414,15.2414,15.2414
2013,"IVEE",17.1809,17.1809,17.1809
2013,"MOHK",16.2444,16.2444,16.2444
2013,"NAPL",15.5231,15.5231,15.5231
2013,"SCDI",15.4657,15.4657,15.4657
2013,"SCTW",16.8626,16.8626,16.8626
2014,"ABUR",16.0624,16.0624,16.0624
2014,"AHND",14.969,14.969,14.969
2014,"AQUE",16.2076,16.2076,16.2076
2014,"BULL",15.5132,15.5132,15.5132
2014,"CARP",16.9356,16.9356,16.9356
2014,"GOLB",16.7105,16.7105,16.7105
2014,"IVEE",15.5909,15.5909,15.5909
2014,"MOHK",16.7475,16.7475,16.7475
2014,"NAPL",16.2578,16.2578,16.2578
2014,"SCDI",16.332,16.332,16.332
2014,"SCTW",16.8139,16.8139,16.8139
